host,ra,dec,id,period,color,mag,mag_err,offset,bias,phase,metallicity,flag,src
N3370-G,161.75647,17.2832,4710,32.62,1.07,25.3,0.39,0.63,0.39,0.07,8.8,,1m
N3370-G,161.7571,17.28387,59919,36.99,0.88,25.22,0.25,3.02,0.21,-0.04,8.81,,1m
N3370-G,161.76072,17.28069,10677,35.24,1.11,23.49,0.36,10.5,0.29,0,8.97,rej,1m
N3370-G,161.75713,17.28309,5439,45.82,0.98,23.66,0.28,0.95,0.31,0.05,8.83,rej,1m
N3370-G,161.75761,17.28213,6440,43.94,1.17,24.37,0.28,0.32,0.31,0.08,8.86,,1m
N3370-G,161.7598,17.28234,9014,45.1,1.12,24.6,0.27,1.47,0.28,-0.06,8.91,,1m
N3370-G,161.75525,17.28084,4367,52.72,1.22,24.94,0.28,0.09,0.05,0.04,8.78,,1m
N3370-G,161.75695,17.28274,5361,50.6,0.9,23.99,0.27,0.28,0.05,-0.06,8.83,,1m
N3370-G,161.75874,17.28466,6706,64.79,0.96,25,0.4,1.65,0.31,0.09,8.84,rej,1m
N3370-G,161.75677,17.28193,5501,62.71,1.26,23.58,0.25,0.24,0.04,0.02,8.83,,1m
N3982-B,179.0971,55.1208,9531,25.83,0.87,25.45,0.35,0.76,0,-0.11,8.7,,PSI
N3982-B,179.098,55.11996,32398,45.43,0.87,24.33,0.19,0.36,0.04,-0.1,8.72,,PSI
N3982-B,179.10593,55.12011,9075,37.04,0.8,24.32,0.33,8.02,0.23,0,8.97,,PSI
N3982-B,179.10563,55.11935,9114,53.86,1.07,23.52,0.34,0.73,0.13,-0.09,8.93,,PSI
N3982-C,179.13277,55.12384,12134,19.08,0.86,24.92,0.67,0.8,0.64,-0.03,8.9,,PSI
N3982-C,179.13148,55.12278,627,38.86,1.15,24.28,0.39,0.47,0.21,0,8.93,,PSI
N3982-C,179.13803,55.12526,281,40.88,1.31,24.36,0.25,0.52,0.23,0.03,8.72,,PSI
N3982-C,179.13666,55.12775,43380,44.22,0.99,23.97,0.33,0.21,0.21,0.1,8.77,,PSI
N3982-G,179.0901,55.12513,32813,30.04,1.16,25.22,0.41,4.81,-0.09,-0.01,8.48,,PSI
N3982-G,179.08546,55.1225,33304,32.02,0.97,24.56,0.21,0.38,0.11,-0.05,8.32,,PSI
N3982-R,179.09379,55.1095,9610,38.11,1.23,24.4,0.2,0.24,0.06,-0.13,8.28,,PSI
N3982-R,179.09561,55.11319,32634,41,0.89,24.85,0.34,0.69,0.03,-0.11,8.46,,PSI
N3982-C,179.13316,55.12718,11942,25.57,1.49,25.28,0.37,1.59,0.56,-0.02,8.89,,1m
